fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file,pit_mouth_rate_inr_mt
2016,Limestone,Andhra Pradesh,10067545.0,9090785.0,10252016172810MSMP_March2016.pdf,902.9793261415767
2016,Limestone,Chhattisgarh,135446017.0,139855400.0,10252016172810MSMP_March2016.pdf,1032.5545416370567
2016,Limestone,Gujarat,107508206.0,115106687.0,10252016172810MSMP_March2016.pdf,1070.6781489777627
2016,Limestone,Jharkhand,188450673.0,193135100.0,10252016172810MSMP_March2016.pdf,1024.8575763908257
2016,Limestone,Madhya Pradesh,137073625.0,111478200.0,10252016172810MSMP_March2016.pdf,813.272429324022
2016,Limestone,Maharashtra,67134691.0,67045400.0,10252016172810MSMP_March2016.pdf,998.6699722800541
2016,Limestone,Odisha,178117761.0,158984300.0,10252016172810MSMP_March2016.pdf,892.579713036029
2016,Limestone,Rajasthan,175480198.0,183151451.0,10252016172810MSMP_March2016.pdf,1043.7157758392773
2016,Limestone,Tamil Nadu,64526545.0,65334309.0,10252016172810MSMP_March2016.pdf,1012.5183209483787
2016,Limestone,Andhra Pradesh,571887.0,1021101.0,10252016172810MSMP_March2016.pdf,1785.494337168007
2016,Limestone,Chhattisgarh,50018575.0,86574032.0,10252016172810MSMP_March2016.pdf,1730.8376338190362
2016,Limestone,Gujarat,4182952.0,2392149.0,10252016172810MSMP_March2016.pdf,571.8805762055123
2016,Limestone,Jharkhand,17514868.0,25229041.0,10252016172810MSMP_March2016.pdf,1440.4356915507442
2016,Limestone,Karnataka,40396223.0,59724653.0,10252016172810MSMP_March2016.pdf,1478.4712174700096
2016,Limestone,Madhya Pradesh,8295414.0,10692344.0,10252016172810MSMP_March2016.pdf,1288.94639857637
2016,Limestone,Maharashtra,5625538.0,9026263.0,10252016172810MSMP_March2016.pdf,1604.5155147827638
2016,Limestone,Odisha,143327083.0,129310849.0,10252016172810MSMP_March2016.pdf,902.2080565192274
2016,Limestone,Rajasthan,62535533.0,54988812.0,10252016172810MSMP_March2016.pdf,879.3210733488112
2016,Limestone,Tamil Nadu,14877.0,44594.0,10252016172810MSMP_March2016.pdf,2997.5129394367145
2016,Limestone,Andhra Pradesh,7036995.0,7048644.0,10252016172810MSMP_March2016.pdf,1001.655394099328
2016,Limestone,Chhattisgarh,6668113.0,5097185.0,10252016172810MSMP_March2016.pdf,764.4119108359441
2016,Limestone,Gujarat,4486095.0,4298967.0,10252016172810MSMP_March2016.pdf,958.2871071611279
2016,Limestone,Jharkhand,518766.0,378093.0,10252016172810MSMP_March2016.pdf,728.8314962815605
2016,Limestone,Karnataka,4354353.0,3827221.0,10252016172810MSMP_March2016.pdf,878.9413720017646
2016,Limestone,Madhya Pradesh,7029113.0,7704933.0,10252016172810MSMP_March2016.pdf,1096.1458437216759
2016,Limestone,Maharashtra,2301616.0,2378849.0,10252016172810MSMP_March2016.pdf,1033.5559884880884
2016,Limestone,Odisha,1512592.0,1382606.0,10252016172810MSMP_March2016.pdf,914.0640701524271
2016,Limestone,Rajasthan,16698147.0,16372396.0,10252016172810MSMP_March2016.pdf,980.4917875019306
2016,Limestone,Tamil Nadu,6202484.0,6772663.0,10252016172810MSMP_March2016.pdf,1091.927524520821
2016,Limestone,Chhattisgarh,134800.0,139855400.0,10252016172810MSMP_March2016.pdf,1037502.9673590504
2016,Limestone,Jharkhand,124100.0,193135100.0,10252016172810MSMP_March2016.pdf,1556286.059629331
2016,Limestone,Madhya Pradesh,87600.0,111478200.0,10252016172810MSMP_March2016.pdf,1272582.191780822
2016,Limestone,Maharashtra,38300.0,67045400.0,10252016172810MSMP_March2016.pdf,1750532.637075718
2016,Limestone,Odisha,123600.0,158984300.0,10252016172810MSMP_March2016.pdf,1286280.7443365697
2016,Limestone,Gujarat,12300.0,17914600.0,10252016172810MSMP_March2016.pdf,1456471.5447154471
2016,Limestone,Rajasthan,10800.0,12590000.0,10252016172810MSMP_March2016.pdf,1165740.7407407407
2016,Limestone,Tamil Nadu,25200.0,51122400.0,10252016172810MSMP_March2016.pdf,2028666.6666666667
2016,Limestone,Andhra Pradesh,541.0,4474139.0,10252016172810MSMP_March2016.pdf,8270127.541589648
2016,Limestone,Gujarat,1526.0,12620215.0,10252016172810MSMP_March2016.pdf,8270127.785058978
2016,Limestone,Rajasthan,1178.0,9742211.0,10252016172810MSMP_March2016.pdf,8270128.18336163
2016,Limestone,Tamil Nadu,1191.0,9849723.0,10252016172810MSMP_March2016.pdf,8270128.46347607
2016,Limestone,Andhra Pradesh,254.0,4616646.0,10252016172810MSMP_March2016.pdf,18175771.65354331
2016,Limestone,Gujarat,4653.0,84571872.0,10252016172810MSMP_March2016.pdf,18175773.04964539
2016,Limestone,Rajasthan,8848.0,160819240.0,10252016172810MSMP_March2016.pdf,18175773.056057867
2016,Limestone,Tamil Nadu,240.0,4362186.0,10252016172810MSMP_March2016.pdf,18175775.0
2016,Iron Ore,Andhra Pradesh,916.0,504259.0,10252016172810MSMP_March2016.pdf,550.5010917030568
2016,Iron Ore,Chhattisgarh,29388.0,85391078.0,10252016172810MSMP_March2016.pdf,2905.64441268545
2016,Iron Ore,Jharkhand,19237.0,23649275.0,10252016172810MSMP_March2016.pdf,1229.3639860685137
2016,Iron Ore,Karnataka,20205.0,55165630.0,10252016172810MSMP_March2016.pdf,2730.295966344964
2016,Iron Ore,Madhya Pradesh,4193.0,2464797.0,10252016172810MSMP_March2016.pdf,587.8361554972573
2016,Iron Ore,Maharashtra,2143.0,2601529.0,10252016172810MSMP_March2016.pdf,1213.9659356042932
2016,Iron Ore,Odisha,52022.0,103636933.0,10252016172810MSMP_March2016.pdf,1992.1750989965785
2016,Iron Ore,Rajasthan,1180.0,3201253.0,10252016172810MSMP_March2016.pdf,2712.9262711864408
2016,Iron Ore,Andhra Pradesh,637.0,425241.0,10252016172810MSMP_March2016.pdf,667.5682888540032
2016,Iron Ore,Chhattisgarh,10617.0,35702422.0,10252016172810MSMP_March2016.pdf,3362.7599133465196
2016,Iron Ore,Jharkhand,6904.0,9470862.0,10252016172810MSMP_March2016.pdf,1371.7934530706837
2016,Iron Ore,Karnataka,6799.0,22759146.0,10252016172810MSMP_March2016.pdf,3347.4255037505513
