fiscal_year,commodity,state,cumulative_qty_mt,cumulative_val_inr_crores,source_file
2016,Iron Ore,Jharkhand,19237.0,23649275.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Karnataka,20205.0,55165630.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Madhya Pradesh,4193.0,2464797.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Maharashtra,2143.0,2601529.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Odisha,52022.0,103636933.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Rajasthan,1180.0,3201253.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Andhra Pradesh,637.0,425241.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Chhattisgarh,10617.0,35702422.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Jharkhand,6904.0,9470862.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Karnataka,6799.0,22759146.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Madhya Pradesh,654.0,794722.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Maharashtra,407.0,626507.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Odisha,21152.0,57013083.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Rajasthan,124.0,82779.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Andhra Pradesh,279.0,79018.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Chhattisgarh,18771.0,49688656.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Jharkhand,12333.0,14178413.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Karnataka,13406.0,32406484.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Madhya Pradesh,3539.0,1670075.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Maharashtra,1736.0,1975022.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Odisha,30831.0,46548984.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Rajasthan,17.0,13851.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Odisha,39.0,74866.0,10252016172810MSMP_March2016.pdf
2016,Iron Ore,Rajasthan,1039.0,3104623.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Andhra Pradesh,34676.0,6145183.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,23588.0,5095514.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,26010.0,4041937.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Jharkhand,792.0,355281.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Karnataka,24008.0,3782551.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Madhya Pradesh,39530.0,7024166.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Maharashtra,12085.0,2338475.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Odisha,3409.0,1189212.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,61844.0,12515775.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,22227.0,5989520.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Karnataka,200.0,240.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,30.0,30.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Karnataka,9129.0,40910.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,225694.0,637938.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,2177449.0,257030.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Tamil Nadu,2039.0,568.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Chhattisgarh,6383.0,1671.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Rajasthan,207.0,456.0,10252016172810MSMP_March2016.pdf
2016,Limestone,Gujarat,90096.0,0.0,10252016172810MSMP_March2016.pdf
